dateID,locationID,contentID,NumberNegativeNews,NumberPositiveNews,totalQuantity
119,22339,212,1,0,1
119,12135,213,1,0,1
120,4751,214,1,0,1
120,17543,215,1,0,1
121,13004,216,0,1,1
121,14648,217,1,0,1
122,27208,218,1,0,1
123,16326,219,0,1,1
123,3823,220,1,0,1
123,26750,221,0,1,1
124,14189,222,1,0,1
124,26365,223,1,0,1
125,13964,224,1,0,1
125,20290,225,1,0,1
125,9139,226,1,0,1
126,4972,227,0,1,1
126,11927,228,0,1,1
127,18789,229,1,0,1
127,9765,230,1,0,1
128,7686,231,1,0,1
128,16082,232,1,0,1
129,11879,233,1,0,1
129,16311,234,1,0,1
130,5769,235,1,0,1
130,10859,236,1,0,1
131,6583,237,1,0,1
131,11660,238,1,0,1
132,17716,239,1,0,1
132,15390,240,1,0,1
133,19906,241,1,0,1
133,22954,242,1,0,1
133,16048,243,1,0,1
134,14419,244,1,0,1
135,25722,245,0,1,1
136,16627,246,0,1,1
136,8818,247,1,0,1
137,23080,248,1,0,1
138,4623,249,1,0,1
138,7676,250,1,0,1
138,10684,251,1,0,1
139,18115,252,1,0,1
139,21035,253,1,0,1
140,12902,254,1,0,1
140,3694,255,0,1,1
140,20120,256,0,1,1
141,14721,257,1,0,1
141,11792,258,0,1,1
142,21939,259,0,1,1
143,22715,260,1,0,1
143,19498,261,0,1,1
144,19036,262,0,1,1
145,19443,263,1,0,1
145,2908,264,1,0,1
146,20742,265,0,1,1
147,17451,266,0,1,1
147,17554,267,0,1,1
148,4197,268,1,0,1
148,26550,269,1,0,1
149,20117,270,1,0,1
150,23457,271,1,0,1
151,18921,272,1,0,1
151,25515,273,0,1,1
152,5626,274,0,1,1
152,20198,275,0,1,1
153,18955,276,1,0,1
154,15724,277,0,1,1
154,9278,278,1,0,1
155,6043,279,1,0,1
155,20211,280,0,1,1
156,27530,281,1,0,1
156,12570,282,0,1,1
156,17222,283,1,0,1
157,20553,284,0,1,1
158,13050,285,1,0,1
159,1003,286,1,0,1
159,1139,287,1,0,1
160,1659,288,0,1,1
160,7702,289,0,1,1
161,3844,290,1,0,1
162,25941,291,1,0,1
162,18478,292,1,0,1
163,7643,293,1,0,1
164,5217,294,1,0,1
164,22749,295,0,1,1
164,1141,296,1,0,1
165,19413,297,1,0,1
166,2584,298,1,0,1
166,28181,299,1,0,1
167,5552,300,1,0,1
167,27716,301,0,1,1
168,1153,302,1,0,1
168,3913,303,1,0,1
169,23077,304,1,0,1
170,502,305,1,0,1
170,13425,306,0,1,1
171,24977,307,1,0,1
172,25530,308,1,0,1
173,16730,309,1,0,1
173,9751,310,1,0,1
174,354,311,0,1,1
175,27105,312,1,0,1
176,2604,313,1,0,1
176,12833,314,1,0,1
177,19089,315,1,0,1
177,17785,316,0,1,1
177,12259,317,1,0,1
177,13399,318,0,1,1
178,8177,319,1,0,1
178,9514,320,1,0,1
179,24333,321,1,0,1
180,25365,322,1,0,1
181,3767,323,0,1,1
181,18968,324,1,0,1
181,9739,325,0,1,1
182,18062,326,1,0,1
182,5260,327,0,1,1
183,14931,328,1,0,1
183,12869,329,1,0,1
184,3740,330,0,1,1
184,5816,331,0,1,1
184,11104,332,1,0,1
184,28128,333,0,1,1
185,13324,334,1,0,1
185,16725,335,1,0,1
186,3679,336,1,0,1
186,9687,337,0,1,1
187,17898,338,1,0,1
187,16705,339,1,0,1
188,21554,340,1,0,1
189,13140,341,1,0,1
189,21324,342,1,0,1
190,3119,343,0,1,1
190,6856,344,1,0,1
190,19422,345,1,0,1
191,23673,346,1,0,1
192,19118,347,1,0,1
193,6203,348,1,0,1
193,2963,349,1,0,1
194,8394,350,1,0,1
195,2218,351,1,0,1
195,18436,352,1,0,1
196,26763,353,1,0,1
196,18447,354,1,0,1
196,25019,355,1,0,1
197,15874,356,1,0,1
198,27820,357,1,0,1
199,11498,358,1,0,1
199,22801,359,1,0,1
199,27158,360,1,0,1
199,11844,361,1,0,1
200,21283,362,1,0,1
201,26763,363,1,0,1
202,10354,364,1,0,1
202,21475,365,1,0,1
202,8781,366,1,0,1
203,22707,367,1,0,1
203,25545,368,0,1,1
203,26475,369,0,1,1
204,12609,370,1,0,1
204,22597,371,0,1,1
205,24010,372,1,0,1
205,4663,373,1,0,1
205,2486,374,0,1,1
206,18985,375,1,0,1
206,3189,376,1,0,1
206,17101,377,1,0,1
207,17321,378,1,0,1
207,16029,379,1,0,1
207,27332,380,1,0,1
208,8907,381,1,0,1
208,25144,382,1,0,1
208,3209,383,1,0,1
209,14135,384,1,0,1
209,24156,385,1,0,1
210,10874,386,0,1,1
211,26703,387,0,1,1
211,14400,388,1,0,1
212,3138,389,1,0,1
213,6025,390,1,0,1
214,22043,391,1,0,1
215,1304,392,0,1,1
216,8477,393,1,0,1
217,19924,394,1,0,1
217,20530,395,1,0,1
217,12637,396,1,0,1
217,23471,397,1,0,1
218,16483,398,1,0,1
218,6880,399,1,0,1
218,15596,400,1,0,1
218,15998,401,1,0,1
219,6827,402,0,1,1
219,18146,403,1,0,1
219,11472,404,0,1,1
219,6518,405,1,0,1
220,27803,406,1,0,1
221,3561,407,0,1,1
221,11502,408,1,0,1
222,17939,409,1,0,1
222,25375,410,1,0,1
222,10812,411,1,0,1
222,3551,412,1,0,1
223,22030,413,1,0,1
224,25705,414,1,0,1
225,23954,415,0,1,1
226,18897,416,0,1,1
227,9050,417,1,0,1
228,16283,418,1,0,1
228,15454,419,0,1,1
229,24536,420,1,0,1
229,3265,421,1,0,1
230,11729,422,0,1,1
231,18730,423,1,0,1
231,22705,424,1,0,1
231,27744,425,1,0,1
232,4292,426,1,0,1
233,3386,427,0,1,1
233,18780,428,1,0,1
234,16301,429,1,0,1
234,14136,430,1,0,1
234,23323,431,1,0,1
235,2157,432,1,0,1
235,27349,433,1,0,1
236,2408,434,1,0,1
236,3437,435,0,1,1
237,8189,436,1,0,1
237,7719,437,0,1,1
238,9325,438,1,0,1
239,6968,439,1,0,1
240,24492,440,0,1,1
240,9037,441,1,0,1
240,20095,442,0,1,1
241,21162,443,1,0,1
241,13971,444,1,0,1
242,17921,445,1,0,1
242,16092,446,1,0,1
242,14131,447,1,0,1
242,4020,448,0,1,1
242,8345,449,1,0,1
243,11738,450,0,1,1
243,17675,451,0,1,1
244,12054,452,0,1,1
245,22065,453,1,0,1
245,8892,454,0,1,1
246,16057,455,1,0,1
246,11934,456,0,1,1
247,8881,457,1,0,1
248,21333,458,0,1,1
248,23620,459,1,0,1
248,20866,460,0,1,1
249,13736,461,1,0,1
249,16192,462,0,1,1
250,7516,463,1,0,1
250,6278,464,0,1,1
250,9492,465,0,1,1
250,6075,466,0,1,1
251,28121,467,0,1,1
252,18682,468,1,0,1
252,19364,469,1,0,1
252,17128,470,1,0,1
252,1829,471,1,0,1
253,5228,472,0,1,1
253,14510,473,1,0,1
253,21968,474,1,0,1
254,8898,475,1,0,1
254,9863,476,1,0,1
255,24140,477,1,0,1
256,5115,478,1,0,1
256,3676,479,1,0,1
257,20740,480,0,1,1
257,3481,481,1,0,1
257,5334,482,1,0,1
257,573,483,1,0,1
258,15107,484,0,1,1
258,23123,485,1,0,1
258,24310,486,1,0,1
259,2202,487,0,1,1
259,27299,488,1,0,1
260,3082,489,0,1,1
261,7778,490,0,1,1
262,142,491,1,0,1
262,3303,492,1,0,1
262,17840,493,1,0,1
263,3206,494,1,0,1
263,24854,495,1,0,1
263,14073,496,1,0,1
264,13423,497,1,0,1
264,8317,498,1,0,1
264,10402,499,1,0,1
265,18647,500,1,0,1
266,27805,501,1,0,1
267,172,502,1,0,1
267,24670,503,1,0,1
267,27740,504,1,0,1
268,7894,505,1,0,1
269,1968,506,0,1,1
269,4320,507,1,0,1
270,3400,508,0,1,1
270,8033,509,1,0,1
270,14505,510,0,1,1
271,18380,511,1,0,1
271,28277,512,0,1,1
271,23685,513,1,0,1
272,16726,514,1,0,1
272,2176,515,1,0,1
273,11323,516,0,1,1
273,20957,517,1,0,1
274,8510,518,0,1,1
274,23066,519,1,0,1
275,6469,520,1,0,1
276,4368,521,1,0,1
276,17785,522,1,0,1
277,18062,523,1,0,1
277,18855,524,1,0,1
278,22614,525,1,0,1
279,8013,526,1,0,1
279,11133,527,1,0,1
280,8725,528,1,0,1
281,17569,529,1,0,1
281,12397,530,1,0,1
282,19496,531,1,0,1
283,4752,532,1,0,1
284,8126,533,1,0,1
285,27586,534,0,1,1
285,1333,535,0,1,1
286,14269,536,1,0,1
286,12589,537,1,0,1
287,16856,538,1,0,1
288,12002,539,0,1,1
289,10416,540,1,0,1
289,5742,541,1,0,1
289,10830,542,1,0,1
290,23627,543,1,0,1
290,21033,544,1,0,1
291,167,545,1,0,1
292,16000,546,1,0,1
292,21934,547,1,0,1
292,4974,548,1,0,1
293,10104,549,1,0,1
293,27700,550,0,1,1
293,9037,551,1,0,1
294,27807,552,1,0,1
294,4048,553,1,0,1
294,1660,554,1,0,1
295,4362,555,1,0,1
295,17141,556,1,0,1
296,25807,557,1,0,1
296,6251,558,1,0,1
297,22216,559,1,0,1
298,1091,560,1,0,1
298,10475,561,1,0,1
298,23539,562,1,0,1
299,2712,563,1,0,1
299,14213,564,1,0,1
300,17067,565,0,1,1
300,1378,566,1,0,1
300,2987,567,1,0,1
301,10304,568,0,1,1
301,21896,569,1,0,1
301,13113,570,1,0,1
302,17729,571,0,1,1
302,20204,572,1,0,1
303,23226,573,0,1,1
303,3968,574,1,0,1
304,17751,575,1,0,1
305,3054,576,1,0,1
305,12458,577,1,0,1
306,8724,578,0,1,1
307,22366,579,1,0,1
307,3272,580,1,0,1
308,6406,581,1,0,1
309,21932,582,1,0,1
309,25172,583,1,0,1
310,21747,584,0,1,1
311,16000,585,1,0,1
311,958,586,1,0,1
311,14082,587,1,0,1
312,1918,588,1,0,1
313,13237,589,1,0,1
314,3264,590,1,0,1
314,8837,591,1,0,1
314,8585,592,1,0,1
314,14383,593,1,0,1
315,23256,594,1,0,1
315,7773,595,0,1,1
315,1303,596,1,0,1
316,18561,597,1,0,1
316,11124,598,1,0,1
316,19276,599,1,0,1
316,26988,600,1,0,1
317,4518,601,1,0,1
317,2502,602,0,1,1
317,8586,603,0,1,1
318,16701,604,1,0,1
318,16059,605,1,0,1
318,22430,606,0,1,1
319,28272,607,1,0,1
320,19358,608,1,0,1
320,9065,609,1,0,1
321,11529,610,1,0,1
321,5767,611,1,0,1
321,10758,612,1,0,1
322,21150,613,1,0,1
323,3959,614,1,0,1
323,12525,615,0,1,1
324,10578,616,1,0,1
324,25774,617,1,0,1
325,6466,618,1,0,1
325,11753,619,1,0,1
326,4113,620,1,0,1
327,6607,621,1,0,1
327,22872,622,1,0,1
327,1017,623,1,0,1
327,25267,624,1,0,1
328,7821,625,0,1,1
328,15473,626,1,0,1
329,8866,627,1,0,1
329,7692,628,1,0,1
329,16556,629,1,0,1
330,18154,630,0,1,1
331,27279,631,1,0,1
332,19741,632,1,0,1
332,6650,633,1,0,1
332,16267,634,1,0,1
333,27635,635,1,0,1
333,17172,636,0,1,1
333,22216,637,1,0,1
334,24262,638,1,0,1
334,17562,639,1,0,1
335,9413,640,1,0,1
335,20637,641,1,0,1
335,18111,642,1,0,1
336,20922,643,1,0,1
337,20163,644,1,0,1
337,19134,645,1,0,1
338,15322,646,1,0,1
338,6152,647,1,0,1
339,9551,648,1,0,1
339,5203,649,1,0,1
339,22887,650,1,0,1
340,3382,651,1,0,1
341,26218,652,1,0,1
341,10652,653,1,0,1
341,19964,654,1,0,1
342,14945,655,1,0,1
342,9624,656,1,0,1
342,21135,657,1,0,1
343,289,658,1,0,1
343,3266,659,1,0,1
344,1091,660,1,0,1
345,10818,661,1,0,1
346,2618,662,1,0,1
346,25524,663,1,0,1
346,22468,664,1,0,1
347,13548,665,0,1,1
347,14350,666,1,0,1
347,17963,667,1,0,1
347,13271,668,1,0,1
347,15387,669,1,0,1
347,5854,670,1,0,1
348,7943,671,0,1,1
348,4737,672,1,0,1
348,21603,673,1,0,1
349,17637,674,1,0,1
349,22246,675,0,1,1
349,11089,676,1,0,1
350,27098,677,1,0,1
351,27749,678,0,1,1
352,11669,679,0,1,1
353,21266,680,1,0,1
353,19461,681,1,0,1
353,23607,682,1,0,1
353,24540,683,0,1,1
354,2803,684,1,0,1
354,5330,685,1,0,1
354,27342,686,1,0,1
354,24117,687,1,0,1
354,22664,688,1,0,1
355,11034,689,1,0,1
355,3390,690,1,0,1
355,8150,691,1,0,1
356,21324,692,0,1,1
356,4565,693,1,0,1
356,18856,694,1,0,1
356,26329,695,0,1,1
356,9291,696,0,1,1
357,20562,697,1,0,1
357,23239,698,0,1,1
357,17740,699,0,1,1
357,26487,700,1,0,1
358,2032,701,0,1,1
358,28300,702,1,0,1
358,3970,703,1,0,1
359,16631,704,1,0,1
359,7455,705,1,0,1
359,24980,706,1,0,1
360,23366,707,0,1,1
361,17579,708,0,1,1
361,12187,709,0,1,1
362,1165,710,1,0,1
362,26025,711,1,0,1
363,20929,712,1,0,1
364,1396,713,1,0,1
365,26192,714,1,0,1
365,26169,715,0,1,1
365,3952,716,1,0,1
366,14397,717,1,0,1
366,17168,718,0,1,1
366,12689,719,1,0,1
367,8590,720,1,0,1
367,19726,721,1,0,1
367,17827,722,1,0,1
368,47,723,1,0,1
368,3370,724,1,0,1
369,21691,725,1,0,1
369,13274,726,1,0,1
369,8994,727,1,0,1
370,9550,728,1,0,1
370,2961,729,1,0,1
370,162,730,1,0,1
371,17604,731,1,0,1
371,1573,732,0,1,1
371,6099,733,1,0,1
372,6192,734,0,1,1
372,23715,735,1,0,1
372,5221,736,1,0,1
373,25360,737,1,0,1
373,16870,738,1,0,1
374,2788,739,1,0,1
374,5638,740,1,0,1
374,17838,741,1,0,1
374,25327,742,1,0,1
375,19158,743,1,0,1
375,22643,744,0,1,1
375,25027,745,1,0,1
376,2051,746,1,0,1
376,149,747,1,0,1
377,2527,748,1,0,1
377,2089,749,0,1,1
377,18643,750,0,1,1
377,17520,751,1,0,1
378,8482,752,0,1,1
378,7755,753,1,0,1
379,23170,754,1,0,1
380,5481,755,1,0,1
380,26271,756,1,0,1
381,10812,757,1,0,1
381,1622,758,0,1,1
381,16286,759,0,1,1
381,15534,760,1,0,1
382,3147,761,0,1,1
382,11964,762,1,0,1
382,17785,763,0,1,1
383,6513,764,1,0,1
383,16808,765,1,0,1
383,1494,766,1,0,1
383,19324,767,1,0,1
383,11797,768,1,0,1
384,9315,769,0,1,1
384,9806,770,1,0,1
384,871,771,0,1,1
384,24708,772,1,0,1
384,19649,773,1,0,1
385,3358,774,1,0,1
386,17215,775,1,0,1
386,15678,776,1,0,1
387,27394,777,1,0,1
387,28232,778,1,0,1
387,23576,779,1,0,1
387,2861,780,1,0,1
388,2239,781,0,1,1
388,25848,782,1,0,1
388,10923,783,1,0,1
388,27964,784,1,0,1
389,5795,785,0,1,1
389,15050,786,0,1,1
390,1084,787,1,0,1
390,27523,788,0,1,1
390,24865,789,1,0,1
391,12999,790,1,0,1
391,5779,791,0,1,1
391,7750,792,1,0,1
392,8912,793,1,0,1
392,9258,794,1,0,1
392,18337,795,0,1,1
392,8856,796,1,0,1
393,1856,797,1,0,1
394,18545,798,1,0,1
394,4603,799,1,0,1
394,24811,800,1,0,1
394,6417,801,1,0,1
395,19306,802,1,0,1
395,28190,803,1,0,1
396,25458,804,1,0,1
396,6288,805,1,0,1
397,28019,806,1,0,1
397,9989,807,1,0,1
398,5234,808,1,0,1
398,22850,809,0,1,1
398,1802,810,0,1,1
398,16002,811,0,1,1
398,6532,812,1,0,1
399,25628,813,1,0,1
400,25758,814,1,0,1
401,5393,815,1,0,1
402,26995,816,0,1,1
402,7540,817,1,0,1
403,10874,818,1,0,1
403,8219,819,1,0,1
